,Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
0,Questions,GNN,68268,0.0014104372355430183,0.0012877905194088428,0.0014104372355430161,0.0012877905194088601,1.0,0.48363618601016023
1,Questions,GNN,43567,0.0011447026839189714,0.0016557306678113694,0.0011447026839189745,0.0016557306678113282,1.0,0.48715318483782727
2,Questions,GNN,42613,0.001246908280697451,0.0015330839516771938,0.0012469082806974008,0.0015330839516771722,1.0,0.4859873648560636
3,Questions,GNN,45891,0.0013695549968316264,0.001471760593610106,0.0013695549968316678,0.0014717605936100941,1.0,0.4847466458251921
4,Questions,GNN,21243,0.0013286727581202347,0.001471760593610106,0.0013286727581202085,0.0014717605936100941,1.0,0.4846652338152924
5,Questions,GNN,95939,0.0013899961161873225,0.0013491138774759305,0.0013899961161872865,0.0013491138774759381,1.0,0.4837957535495636
6,Questions,GNN,97639,0.001267349400053147,0.001512642832321498,0.0012673494000531305,0.0015126428323214425,1.0,0.4857105640224046
7,Questions,GNN,41993,0.0011447026839189714,0.0016352895484556735,0.0011447026839189745,0.0016352895484557095,1.0,0.4864432721115019
8,Questions,GNN,86293,0.0010016148484291,0.0016352895484556735,0.0010016148484290888,0.0016352895484557095,1.0,0.48245408362641656
9,Questions,GNN,55026,0.001471760593610106,0.0013695549968316264,0.0014717605936100941,0.0013695549968316678,1.0,0.48551191871824934
