,P1,P2,Prob
0,7,18,0.79218674
1,9,12,0.811255
2,9,14,0.81277204
3,9,17,0.8076851
4,9,18,0.80543303
5,9,23,0.8335287
6,9,32,0.80045074
7,9,40,0.80839753
8,9,51,0.80750954
9,9,54,0.8127445
10,9,61,0.8217226
11,9,62,0.8108761
12,9,69,0.8151624
13,9,71,0.81126136
14,9,97,0.80579334
15,12,9,0.8020798
16,14,9,0.79347855
17,17,9,0.7869129
18,17,54,0.800918
19,18,7,0.79488015
20,18,9,0.79019654
21,18,19,0.79275227
22,18,20,0.7947352
23,18,22,0.79300237
24,18,24,0.7825368
25,18,25,0.7843184
26,18,26,0.7862276
27,18,30,0.7902063
28,18,31,0.7928088
29,18,32,0.77920085
30,18,33,0.78255117
31,18,39,0.7903584
32,18,42,0.7894513
33,18,46,0.78276664
34,18,50,0.7915726
35,18,53,0.7963228
36,18,60,0.7890259
37,18,74,0.78746873
38,18,76,0.79158884
39,18,98,0.7904551
40,19,18,0.8010893
41,20,18,0.78873116
42,22,18,0.793539
43,22,32,0.78231966
44,22,33,0.78737366
45,23,9,0.7917833
46,24,18,0.78626364
47,24,25,0.78497165
48,24,26,0.7839735
49,24,30,0.79407465
50,24,31,0.78857976
51,24,32,0.78681856
52,24,33,0.7842576
53,24,74,0.7912085
54,24,98,0.78866374
55,25,18,0.7893154
56,25,24,0.79104626
57,25,26,0.78915286
58,25,32,0.78426296
59,25,42,0.7905904
60,25,60,0.7959681
61,26,18,0.7833519
62,26,24,0.79003465
63,26,25,0.78248477
64,26,31,0.7900899
65,26,32,0.77816534
66,26,33,0.7858655
67,26,39,0.7944321
68,26,42,0.78316486
69,26,74,0.7933376
70,26,76,0.79358965
71,26,98,0.7867167
72,30,18,0.7968635
73,30,24,0.7931174
74,30,33,0.7898317
75,31,18,0.78512794
76,31,24,0.78892803
77,31,26,0.78435564
78,31,32,0.78137654
79,31,33,0.7839695
80,31,42,0.78448397
81,31,50,0.7921137
82,31,74,0.78932595
83,31,98,0.7926581
84,32,9,0.78238195
85,32,18,0.78872263
86,32,22,0.79113674
87,32,24,0.7906105
88,32,25,0.7885639
89,32,26,0.7803091
90,32,31,0.78927165
91,32,33,0.78640896
92,32,46,0.7874409
93,32,98,0.78399754
94,33,18,0.79300267
95,33,22,0.79505473
96,33,24,0.7887713
97,33,26,0.78917676
98,33,30,0.79041016
99,33,31,0.7876705
100,33,32,0.7859309
101,33,42,0.7856208
102,33,74,0.7895717
103,33,98,0.7922435
104,39,18,0.7888763
105,39,26,0.7999564
106,39,42,0.7878062
107,40,9,0.79499906
108,42,18,0.78596765
109,42,25,0.7867487
110,42,26,0.786743
111,42,31,0.789426
112,42,33,0.78927475
113,42,39,0.79535145
114,46,18,0.7875654
115,46,32,0.7907551
116,46,50,0.7944162
117,46,98,0.78787404
118,50,18,0.7854489
119,50,31,0.79504323
120,50,46,0.78711766
121,51,9,0.7967834
122,53,18,0.78658223
123,54,9,0.79248834
124,54,17,0.7951545
125,60,18,0.79241556
126,60,25,0.7910631
127,60,98,0.78716207
128,61,9,0.79620177
129,62,9,0.7974803
130,69,9,0.79243743
131,71,9,0.7900876
132,74,18,0.7868256
133,74,24,0.79125655
134,74,26,0.7866589
135,74,31,0.78756464
136,74,33,0.78578293
137,74,98,0.7873151
138,76,18,0.79504246
139,76,26,0.7984147
140,97,9,0.7919195
141,98,18,0.7792727
142,98,24,0.7859607
143,98,26,0.7923985
144,98,31,0.78771734
145,98,32,0.7902403
146,98,33,0.7896978
147,98,46,0.7881296
148,98,60,0.7916832
149,98,74,0.7880701
