,seed,lr,alpha,beta,full acc,full f1,partial acc,partial f1,best faith,avg certainty,what is og
0,1818,0.001,0.55,0.1,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.8479126211007436,og alpha
1,1818,0.001,0.55,0.2,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.8436073728402456,og alpha
2,1818,0.001,0.55,0.3,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.8379829478263855,og alpha
3,1818,0.001,0.55,0.4,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.8322785480817159,og alpha
4,1818,0.001,0.55,0.5,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.8260619521141053,og alpha
5,1818,0.001,0.55,0.6,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.8190618403752645,og alpha
6,1818,0.001,0.55,0.7,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.8125483103593191,og alpha
7,1818,0.001,0.55,0.8,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.8062246437867483,og alpha
8,1818,0.001,0.55,0.9,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7981143502394358,og alpha
9,1818,0.001,0.55,1.0,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7908265539010366,og alpha
10,1818,0.001,0.1,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7832008930047353,og beta
11,1818,0.001,0.2,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7748994414011637,og beta
12,1818,0.001,0.3,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7667657196521759,og beta
13,1818,0.001,0.4,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7589124568303426,og beta
14,1818,0.001,0.5,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.75047531803449,og beta
15,1818,0.001,0.6,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7418459479014079,og beta
16,1818,0.001,0.7,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7347262887159983,og beta
17,1818,0.001,0.8,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7286489892005921,og beta
18,1818,0.001,0.9,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7231094364325206,og beta
19,1818,0.001,1.0,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7176807943979899,og beta
20,12905,0.001,0.55,0.1,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7248097912470499,og alpha
21,12905,0.001,0.55,0.2,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7260982203483581,og alpha
22,12905,0.001,0.55,0.3,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7221279942989349,og alpha
23,12905,0.001,0.55,0.4,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.716535370349884,og alpha
24,12905,0.001,0.55,0.5,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7089095640182496,og alpha
25,12905,0.001,0.55,0.6,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.7014247691631317,og alpha
26,12905,0.001,0.55,0.7,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.6928931367397309,og alpha
27,12905,0.001,0.55,0.8,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.6835992423693339,og alpha
28,12905,0.001,0.55,0.9,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.6749446717898051,og alpha
29,12905,0.001,0.55,1.0,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.6656030972798666,og alpha
30,12905,0.001,0.1,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.6553150729338328,og beta
31,12905,0.001,0.2,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.6447648096084595,og beta
32,12905,0.001,0.3,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.63444207072258,og beta
33,12905,0.001,0.4,0.65,0.12549019607843137,0.2229965156794425,0.21333333333333335,0.3516483516483517,-4.0531158447265625e-06,0.6270742142200469,og beta
