,Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
0,Cora,GNN,68268,0.0878877400295421,0.08677991137370754,0.09305760709010336,0.08936484490398822,1.0,0.5
1,Cora,GNN,43567,0.08161004431314624,0.08604135893648449,0.08530280649926147,0.09158050221565728,1.0,0.4953580901856764
2,Cora,GNN,42613,0.08862629246676514,0.09084194977843427,0.09158050221565728,0.09601181683899562,1.0,0.49497915877226223
3,Cora,GNN,45891,0.08936484490398819,0.08087149187592318,0.09490398818316104,0.08604135893648446,1.0,0.5009473285335354
4,Cora,GNN,21243,0.08124076809453472,0.08493353028064993,0.08677991137370755,0.08899556868537661,1.0,0.49327396741189844
5,Cora,GNN,95939,0.0827178729689808,0.09084194977843427,0.08530280649926147,0.0967503692762186,1.0,0.4980106100795756
6,Cora,GNN,97639,0.08419497784342689,0.07902511078286559,0.08641063515509606,0.0838257016248154,1.0,0.4964948844259189
7,Cora,GNN,41993,0.086410635155096,0.08456425406203841,0.0908419497784343,0.08899556868537661,1.0,0.4987684729064039
8,Cora,GNN,86293,0.09010339734121123,0.07607090103397342,0.09268833087149186,0.07976366322008865,1.0,0.49573702159909055
9,Cora,GNN,55026,0.08862629246676514,0.08161004431314624,0.09379615952732645,0.08567208271787297,1.0,0.4980106100795756
