,Data,Explainer,# Epochs,Full Runtime,Average Runtime,# Edges
0,lessinform,Beta,50,22.109580039978027,0.44219160079956055,100
1,lessinform,GNN,50,1.6297836303710938,0.032595672607421876,100
2,lessinform,Beta,50,7.734174013137817,0.15468348026275636,200
3,lessinform,GNN,50,0.6021342277526855,0.012042684555053711,200
4,lessinform,Beta,50,7.665443420410156,0.15330886840820312,300
5,lessinform,GNN,50,1.0383615493774414,0.02076723098754883,300
6,lessinform,Beta,50,10.32028603553772,0.2064057207107544,400
7,lessinform,GNN,50,0.6390745639801025,0.01278149127960205,400
8,lessinform,Beta,50,14.578421592712402,0.291568431854248,500
9,lessinform,GNN,50,1.8564753532409668,0.037129507064819336,500
10,lessinform,Beta,50,10.357468605041504,0.20714937210083006,600
11,lessinform,GNN,50,1.50132417678833,0.0300264835357666,600
12,lessinform,Beta,50,10.934556245803833,0.21869112491607667,700
13,lessinform,GNN,50,1.3904128074645996,0.027808256149291992,700
14,lessinform,Beta,50,8.6757333278656,0.17351466655731201,800
15,lessinform,GNN,50,1.4789824485778809,0.029579648971557616,800
16,lessinform,Beta,50,7.277973413467407,0.14555946826934815,900
17,lessinform,GNN,50,1.073082447052002,0.021461648941040037,900
18,lessinform,Beta,50,8.62047791481018,0.1724095582962036,1000
19,lessinform,GNN,50,1.7758114337921143,0.03551622867584228,1000
20,lessinform,Beta,50,9.339374303817749,0.18678748607635498,1100
21,lessinform,GNN,50,1.3008806705474854,0.026017613410949707,1100
22,lessinform,Beta,50,9.444116592407227,0.18888233184814454,1200
23,lessinform,GNN,50,1.1151862144470215,0.02230372428894043,1200
24,lessinform,Beta,50,17.13640332221985,0.34272806644439696,1300
25,lessinform,GNN,50,1.727149248123169,0.03454298496246338,1300
26,lessinform,Beta,50,15.983454465866089,0.3196690893173218,1400
27,lessinform,GNN,50,1.6082844734191895,0.03216568946838379,1400
28,lessinform,Beta,50,15.184744119644165,0.3036948823928833,1500
29,lessinform,GNN,50,1.6591761112213135,0.03318352222442627,1500
30,lessinform,Beta,50,9.879606485366821,0.19759212970733642,1600
31,lessinform,GNN,50,1.190173864364624,0.02380347728729248,1600
32,lessinform,Beta,50,14.836792945861816,0.2967358589172363,1700
33,lessinform,GNN,50,1.5009849071502686,0.030019698143005372,1700
34,lessinform,Beta,50,11.5173819065094,0.230347638130188,1800
35,lessinform,GNN,50,1.3171396255493164,0.026342792510986326,1800
36,lessinform,Beta,50,12.993746042251587,0.2598749208450317,1900
37,lessinform,GNN,50,0.6371879577636719,0.012743759155273437,1900
38,lessinform,Beta,50,7.4268364906311035,0.14853672981262206,2000
39,lessinform,GNN,50,1.125762939453125,0.0225152587890625,2000
40,lessinform,Beta,50,17.125717878341675,0.3425143575668335,2100
41,lessinform,GNN,50,1.1808488368988037,0.023616976737976074,2100
42,lessinform,Beta,50,13.770659685134888,0.27541319370269773,2200
43,lessinform,GNN,50,2.1152453422546387,0.04230490684509278,2200
44,lessinform,Beta,50,9.632308006286621,0.19264616012573244,2300
45,lessinform,GNN,50,1.3680567741394043,0.027361135482788086,2300
46,lessinform,Beta,50,16.07513928413391,0.3215027856826782,2400
47,lessinform,GNN,50,1.6361520290374756,0.03272304058074951,2400
48,lessinform,Beta,50,17.68595314025879,0.3537190628051758,2500
49,lessinform,GNN,50,3.5672850608825684,0.07134570121765137,2500
50,lessinform,Beta,50,19.207929849624634,0.38415859699249266,2600
51,lessinform,GNN,50,1.3349666595458984,0.026699333190917968,2600
52,lessinform,Beta,50,14.016406774520874,0.28032813549041746,2700
53,lessinform,GNN,50,1.5971484184265137,0.03194296836853027,2700
54,lessinform,Beta,50,11.445598363876343,0.22891196727752686,2800
55,lessinform,GNN,50,1.2908234596252441,0.02581646919250488,2800
56,lessinform,Beta,50,5.237277030944824,0.10474554061889649,2900
57,lessinform,GNN,50,0.8698148727416992,0.017396297454833985,2900
58,lessinform,Beta,50,5.140524387359619,0.10281048774719238,3000
59,lessinform,GNN,50,0.7921595573425293,0.015843191146850587,3000
60,lessinform,Beta,50,4.035384893417358,0.08070769786834717,3100
61,lessinform,GNN,50,0.7231595516204834,0.014463191032409667,3100
62,lessinform,Beta,50,5.107870817184448,0.10215741634368897,3200
63,lessinform,GNN,50,0.8176453113555908,0.016352906227111816,3200
64,lessinform,Beta,50,4.992082118988037,0.09984164237976074,3300
65,lessinform,GNN,50,0.7781755924224854,0.015563511848449707,3300
66,lessinform,Beta,50,5.117407321929932,0.10234814643859863,3400
67,lessinform,GNN,50,0.8928837776184082,0.017857675552368165,3400
68,lessinform,Beta,50,4.973622560501099,0.09947245121002198,3500
69,lessinform,GNN,50,0.7662398815155029,0.015324797630310059,3500
70,lessinform,Beta,50,5.2908546924591064,0.10581709384918213,3600
71,lessinform,GNN,50,0.8205020427703857,0.016410040855407714,3600
72,lessinform,Beta,50,4.912569522857666,0.09825139045715332,3700
73,lessinform,GNN,50,0.9648184776306152,0.019296369552612304,3700
74,lessinform,Beta,50,4.854600667953491,0.09709201335906982,3800
75,lessinform,GNN,50,0.8905174732208252,0.017810349464416505,3800
76,lessinform,Beta,50,5.3352837562561035,0.10670567512512207,3900
77,lessinform,GNN,50,1.0128331184387207,0.020256662368774415,3900
78,lessinform,Beta,50,5.197376012802124,0.10394752025604248,4000
79,lessinform,GNN,50,0.893730640411377,0.01787461280822754,4000
80,lessinform,Beta,50,4.862692594528198,0.09725385189056396,4100
81,lessinform,GNN,50,0.806396484375,0.0161279296875,4100
82,lessinform,Beta,50,5.601889610290527,0.11203779220581055,4200
83,lessinform,GNN,50,1.0345590114593506,0.020691180229187013,4200
84,lessinform,Beta,50,5.336897850036621,0.10673795700073242,4300
85,lessinform,GNN,50,0.965508222579956,0.01931016445159912,4300
86,lessinform,Beta,50,5.472590446472168,0.10945180892944335,4400
87,lessinform,GNN,50,0.828383207321167,0.01656766414642334,4400
88,lessinform,Beta,50,5.3841822147369385,0.10768364429473877,4500
89,lessinform,GNN,50,1.0358309745788574,0.02071661949157715,4500
90,lessinform,Beta,50,5.369335651397705,0.1073867130279541,4600
91,lessinform,GNN,50,1.0268182754516602,0.020536365509033202,4600
92,lessinform,Beta,50,5.304974317550659,0.10609948635101318,4700
93,lessinform,GNN,50,1.319277048110962,0.026385540962219237,4700
94,lessinform,Beta,50,5.124587535858154,0.10249175071716309,4800
95,lessinform,GNN,50,1.0329947471618652,0.020659894943237306,4800
96,lessinform,Beta,50,5.16831111907959,0.1033662223815918,4900
97,lessinform,GNN,50,1.1015150547027588,0.022030301094055176,4900
98,lessinform,Beta,50,5.535895824432373,0.11071791648864746,5000
99,lessinform,GNN,50,1.1077392101287842,0.022154784202575682,5000
