,Data,Explainer,# Epochs,Full Runtime,Average Runtime,# Edges
0,moreinform,Beta,50,3.652984857559204,0.07305969715118409,100
1,moreinform,GNN,50,0.6445314884185791,0.012890629768371582,100
2,moreinform,Beta,50,3.752619504928589,0.07505239009857177,200
3,moreinform,GNN,50,0.7449827194213867,0.014899654388427734,200
4,moreinform,Beta,50,3.6147940158843994,0.072295880317688,300
5,moreinform,GNN,50,0.7441890239715576,0.014883780479431152,300
6,moreinform,Beta,50,4.088291883468628,0.08176583766937257,400
7,moreinform,GNN,50,0.5148124694824219,0.010296249389648437,400
8,moreinform,Beta,50,3.7267003059387207,0.07453400611877442,500
9,moreinform,GNN,50,0.6882562637329102,0.013765125274658204,500
10,moreinform,Beta,50,4.170518636703491,0.08341037273406983,600
11,moreinform,GNN,50,0.764110803604126,0.01528221607208252,600
12,moreinform,Beta,50,4.090038537979126,0.08180077075958252,700
13,moreinform,GNN,50,0.7459385395050049,0.014918770790100098,700
14,moreinform,Beta,50,3.7890334129333496,0.07578066825866699,800
15,moreinform,GNN,50,0.767096996307373,0.015341939926147461,800
16,moreinform,Beta,50,4.287539482116699,0.08575078964233399,900
17,moreinform,GNN,50,0.8238499164581299,0.016476998329162596,900
18,moreinform,Beta,50,4.1481850147247314,0.08296370029449462,1000
19,moreinform,GNN,50,0.9998552799224854,0.019997105598449708,1000
20,moreinform,Beta,50,4.132105827331543,0.08264211654663085,1100
21,moreinform,GNN,50,0.7516050338745117,0.015032100677490234,1100
22,moreinform,Beta,50,3.890850305557251,0.07781700611114502,1200
23,moreinform,GNN,50,0.6759445667266846,0.01351889133453369,1200
24,moreinform,Beta,50,4.042986869812012,0.08085973739624024,1300
25,moreinform,GNN,50,0.6347107887268066,0.012694215774536133,1300
26,moreinform,Beta,50,4.2521913051605225,0.08504382610321044,1400
27,moreinform,GNN,50,0.6441137790679932,0.012882275581359863,1400
28,moreinform,Beta,50,4.618803024291992,0.09237606048583985,1500
29,moreinform,GNN,50,0.8945934772491455,0.01789186954498291,1500
30,moreinform,Beta,50,4.652213096618652,0.09304426193237304,1600
31,moreinform,GNN,50,0.903954267501831,0.01807908535003662,1600
32,moreinform,Beta,50,4.152124881744385,0.08304249763488769,1700
33,moreinform,GNN,50,0.8057687282562256,0.01611537456512451,1700
34,moreinform,Beta,50,4.787256479263306,0.09574512958526611,1800
35,moreinform,GNN,50,0.8881158828735352,0.017762317657470703,1800
36,moreinform,Beta,50,4.233451843261719,0.08466903686523437,1900
37,moreinform,GNN,50,0.6716878414154053,0.013433756828308106,1900
38,moreinform,Beta,50,4.475943326950073,0.08951886653900147,2000
39,moreinform,GNN,50,0.6826980113983154,0.013653960227966309,2000
40,moreinform,Beta,50,4.6708807945251465,0.09341761589050293,2100
41,moreinform,GNN,50,0.8098413944244385,0.01619682788848877,2100
42,moreinform,Beta,50,4.314408302307129,0.08628816604614258,2200
43,moreinform,GNN,50,0.7208068370819092,0.014416136741638184,2200
44,moreinform,Beta,50,4.440800189971924,0.08881600379943848,2300
