,Data,Explainer,# Epochs,Full Runtime,Average Runtime,# Edges
0,CiteSeer,Beta,50,15.103314399719238,0.3020662879943848,50
1,CiteSeer,GNN,50,7.678241491317749,0.15356482982635497,50
2,CiteSeer,Beta,50,7.842802047729492,0.15685604095458985,100
3,CiteSeer,GNN,50,5.819162130355835,0.1163832426071167,100
4,CiteSeer,Beta,50,6.652262926101685,0.1330452585220337,150
5,CiteSeer,GNN,50,4.707115888595581,0.09414231777191162,150
6,CiteSeer,Beta,50,9.169525146484375,0.1833905029296875,200
7,CiteSeer,GNN,50,10.181294441223145,0.2036258888244629,200
8,CiteSeer,Beta,50,10.313702583312988,0.20627405166625976,250
9,CiteSeer,GNN,50,10.283770322799683,0.20567540645599366,250
10,CiteSeer,Beta,50,11.365807294845581,0.22731614589691163,300
11,CiteSeer,GNN,50,13.429606437683105,0.2685921287536621,300
12,CiteSeer,Beta,50,12.171072959899902,0.24342145919799804,350
13,CiteSeer,GNN,50,10.314971446990967,0.20629942893981934,350
14,CiteSeer,Beta,50,16.38005304336548,0.32760106086730956,400
15,CiteSeer,GNN,50,12.155134677886963,0.24310269355773925,400
16,CiteSeer,Beta,50,17.715226888656616,0.3543045377731323,450
17,CiteSeer,GNN,50,9.211573123931885,0.1842314624786377,450
18,CiteSeer,Beta,50,10.405644655227661,0.20811289310455322,500
19,CiteSeer,GNN,50,7.9415647983551025,0.15883129596710205,500
20,CiteSeer,Beta,50,12.072919368743896,0.24145838737487793,550
21,CiteSeer,GNN,50,6.967044830322266,0.1393408966064453,550
22,CiteSeer,Beta,50,17.09479331970215,0.34189586639404296,600
23,CiteSeer,GNN,50,7.949343204498291,0.15898686408996582,600
24,CiteSeer,Beta,50,15.563441753387451,0.31126883506774905,650
25,CiteSeer,GNN,50,8.586780786514282,0.17173561573028565,650
26,CiteSeer,Beta,50,15.780526876449585,0.3156105375289917,700
27,CiteSeer,GNN,50,13.324023962020874,0.26648047924041746,700
28,CiteSeer,Beta,50,17.323020219802856,0.34646040439605713,750
29,CiteSeer,GNN,50,11.725781917572021,0.23451563835144043,750
