,Data,Explainer,# Epochs,Full Runtime,Average Runtime,# Edges
0,Wisconsin,Beta,50,0.9424343109130859,0.018848686218261718,50
1,Wisconsin,GNN,50,0.5854949951171875,0.01170989990234375,50
2,Wisconsin,Beta,50,0.9876985549926758,0.019753971099853516,100
3,Wisconsin,GNN,50,0.4178500175476074,0.008357000350952149,100
4,Wisconsin,Beta,50,1.031036615371704,0.02062073230743408,150
5,Wisconsin,GNN,50,0.43044400215148926,0.008608880043029786,150
6,Wisconsin,Beta,50,1.0924108028411865,0.02184821605682373,200
7,Wisconsin,GNN,50,0.5920121669769287,0.011840243339538575,200
8,Wisconsin,Beta,50,1.1938331127166748,0.023876662254333495,250
9,Wisconsin,GNN,50,0.8048937320709229,0.016097874641418458,250
10,Wisconsin,Beta,50,1.3486223220825195,0.02697244644165039,300
11,Wisconsin,GNN,50,0.801171064376831,0.016023421287536622,300
12,Wisconsin,Beta,50,1.4709467887878418,0.029418935775756837,350
13,Wisconsin,GNN,50,0.7143087387084961,0.014286174774169921,350
14,Wisconsin,Beta,50,1.383413553237915,0.0276682710647583,400
15,Wisconsin,GNN,50,0.5748639106750488,0.011497278213500977,400
16,Wisconsin,Beta,50,1.217621088027954,0.024352421760559084,450
17,Wisconsin,GNN,50,0.7436914443969727,0.014873828887939453,450
18,Wisconsin,Beta,50,1.279031753540039,0.025580635070800783,500
19,Wisconsin,GNN,50,0.7998015880584717,0.015996031761169434,500
20,Wisconsin,Beta,50,1.309931755065918,0.026198635101318358,550
21,Wisconsin,GNN,50,0.7920281887054443,0.015840563774108887,550
22,Wisconsin,Beta,50,1.2525863647460938,0.025051727294921874,600
23,Wisconsin,GNN,50,0.8976807594299316,0.017953615188598632,600
24,Wisconsin,Beta,50,1.2107079029083252,0.024214158058166502,650
25,Wisconsin,GNN,50,1.0236966609954834,0.020473933219909667,650
26,Wisconsin,Beta,50,1.6201188564300537,0.03240237712860108,700
27,Wisconsin,GNN,50,0.9228243827819824,0.018456487655639647,700
28,Wisconsin,Beta,50,1.4190282821655273,0.028380565643310547,750
29,Wisconsin,GNN,50,1.3269052505493164,0.02653810501098633,750
30,Wisconsin,Beta,50,1.621450424194336,0.03242900848388672,800
31,Wisconsin,GNN,50,1.1913487911224365,0.02382697582244873,800
32,Wisconsin,Beta,50,1.6846952438354492,0.03369390487670899,850
33,Wisconsin,GNN,50,1.1213221549987793,0.022426443099975588,850
34,Wisconsin,Beta,50,1.65922212600708,0.033184442520141605,900
35,Wisconsin,GNN,50,1.0925910472869873,0.021851820945739744,900
36,Wisconsin,Beta,50,1.618502140045166,0.03237004280090332,950
37,Wisconsin,GNN,50,0.9657866954803467,0.019315733909606933,950
38,Wisconsin,Beta,50,1.6608433723449707,0.03321686744689942,1000
39,Wisconsin,GNN,50,1.2681372165679932,0.025362744331359863,1000
40,Wisconsin,Beta,50,1.6360201835632324,0.03272040367126465,1050
41,Wisconsin,GNN,50,1.1486587524414062,0.022973175048828124,1050
42,Wisconsin,Beta,50,1.7430744171142578,0.034861488342285155,1100
43,Wisconsin,GNN,50,1.1703071594238281,0.02340614318847656,1100
44,Wisconsin,Beta,50,1.7156944274902344,0.03431388854980469,1150
45,Wisconsin,GNN,50,1.1815433502197266,0.02363086700439453,1150
46,Wisconsin,Beta,50,1.8459455966949463,0.03691891193389893,1200
47,Wisconsin,GNN,50,1.4211535453796387,0.028423070907592773,1200
48,Wisconsin,Beta,50,1.6034808158874512,0.032069616317749024,1250
