,Data,Explainer,# Epochs,Full Runtime,Average Runtime,# Edges
0,50,Beta,50,917.2552106380463,18.345104212760926,50
1,50,GNN,50,0.41839146614074707,0.008367829322814942,50
2,50,Beta,50,1441.2717819213867,28.825435638427734,100
3,50,GNN,50,0.6492452621459961,0.012984905242919922,100
4,50,Beta,50,1017.1357882022858,20.342715764045714,150
5,50,GNN,50,0.26502180099487305,0.005300436019897461,150
6,50,Beta,50,604.089123249054,12.08178246498108,200
7,50,GNN,50,0.25664186477661133,0.005132837295532227,200
8,50,Beta,50,262.31552052497864,5.246310410499572,250
9,50,GNN,50,0.060666799545288086,0.0012133359909057618,250
