Seed,Accuracy,Precision,Recall,F1 Score,Unfaithfulness
89285,0.75,0.75,1,0.857142857,0.999410504
41749,0.428571429,0.75,0.5,0.6,0.996172756
8997,0.75,0.75,1,0.857142857,0.999410504
40700,0.75,0.75,1,0.857142857,0.999410504
78998,0.75,0.75,1,0.857142857,0.999410504
83827,0.75,0.75,1,0.857142857,0.999410504
94493,0.666666667,0.666666667,1,0.8,0.99833384
86870,0.6,0.6,1,0.75,0.996863667
40180,0.75,0.75,1,0.857142857,0.999410504
91938,0.75,0.75,1,0.857142857,0.997226679
