,Data,Explainer,Experiment,# Epochs,Current Memory,Peak Memory
0,25,BetaExplainer,0,50,83789,2172335
1,25,SubgraphX,0,50,368,2632
2,25,GNNExplainer,0,25,12313,18140
3,25,BetaExplainer,1,25,64030,2152365
4,25,SubgraphX,1,25,360,2624
5,25,GNNExplainer,1,25,11866,17965
6,25,BetaExplainer,2,25,60190,2147940
7,25,SubgraphX,2,25,352,2616
8,25,GNNExplainer,2,25,11811,17886
9,25,BetaExplainer,3,25,60186,2147931
10,25,SubgraphX,3,25,344,2608
11,25,GNNExplainer,3,25,11851,17910
12,25,BetaExplainer,4,25,63521,2151778
13,25,SubgraphX,4,25,336,2600
14,25,GNNExplainer,4,25,12322,17552
15,25,BetaExplainer,5,25,61272,2149387
16,25,SubgraphX,5,25,328,2592
17,25,GNNExplainer,5,25,13071,19098
18,25,BetaExplainer,6,25,64052,2152007
19,25,SubgraphX,6,25,320,2584
20,25,GNNExplainer,6,25,13336,19487
21,25,BetaExplainer,7,25,65170,2153651
22,25,SubgraphX,7,25,304,2568
23,25,GNNExplainer,7,25,13633,19447
24,25,BetaExplainer,8,25,65871,2153816
25,25,SubgraphX,8,25,296,2560
26,25,GNNExplainer,8,25,13226,19048
27,25,BetaExplainer,9,25,65712,2153622
28,25,SubgraphX,9,25,288,2552
29,25,GNNExplainer,9,25,11497,17341
30,25,BetaExplainer,10,25,62101,2150215
31,25,SubgraphX,10,25,280,2544
32,25,GNNExplainer,10,25,11516,17303
33,25,BetaExplainer,11,25,62675,2149471
34,25,SubgraphX,11,25,272,2536
35,25,GNNExplainer,11,25,11600,17405
36,25,BetaExplainer,12,25,65791,2153611
37,25,SubgraphX,12,25,264,2528
38,25,GNNExplainer,12,25,13531,19673
39,25,BetaExplainer,13,25,67276,2154855
40,25,SubgraphX,13,25,256,2520
41,25,GNNExplainer,13,25,12723,18636
42,25,BetaExplainer,14,25,63871,2151408
43,25,SubgraphX,14,25,256,2520
44,25,GNNExplainer,14,25,12153,18256
45,25,BetaExplainer,15,25,62567,2150132
46,25,SubgraphX,15,25,256,2520
47,25,GNNExplainer,15,25,11389,17526
48,25,BetaExplainer,16,25,66756,2153764
49,25,SubgraphX,16,25,256,2520
50,25,GNNExplainer,16,25,11408,17488
51,25,BetaExplainer,17,25,64586,2151250
52,25,SubgraphX,17,25,256,2520
53,25,GNNExplainer,17,25,12961,18761
54,25,BetaExplainer,18,25,64054,2153988
55,25,SubgraphX,18,25,256,2520
56,25,GNNExplainer,18,25,12982,19087
57,25,BetaExplainer,19,25,62059,2149525
58,25,SubgraphX,19,25,256,2520
59,25,GNNExplainer,19,25,11377,17481
60,25,BetaExplainer,20,25,64415,2151741
61,25,SubgraphX,20,25,256,2520
62,25,GNNExplainer,20,25,11913,17169
63,25,BetaExplainer,21,25,65784,2153158
64,25,SubgraphX,21,25,256,2520
65,25,GNNExplainer,21,25,11619,17451
66,25,BetaExplainer,22,25,66915,2154613
67,25,SubgraphX,22,25,256,2520
68,25,GNNExplainer,22,25,12860,18988
69,25,BetaExplainer,23,25,66637,2154217
70,25,SubgraphX,23,25,256,2520
71,25,GNNExplainer,23,25,12942,19137
72,25,BetaExplainer,24,25,65824,2153555
73,25,SubgraphX,24,25,256,2520
74,25,GNNExplainer,24,25,13108,19260
