,Data,Explainer,Experiment,# Epochs,Current Memory,Peak Memory
133,hetero,GNN,33,25,2643,114139
134,hetero,GNN,34,25,2337,113782
135,hetero,GNN,35,25,2521,113966
136,hetero,GNN,36,25,2374,113870
137,hetero,GNN,37,25,2402,113847
138,hetero,GNN,38,25,2402,113796
139,hetero,GNN,39,25,2368,113762
140,hetero,GNN,40,25,2235,113629
141,hetero,GNN,41,25,2286,113629
142,hetero,GNN,42,25,2351,113694
143,hetero,GNN,43,25,2521,113864
144,hetero,GNN,44,25,2439,113884
145,hetero,GNN,45,25,2402,113847
146,hetero,GNN,46,25,2351,113796
147,hetero,GNN,47,25,2470,113915
148,hetero,GNN,48,25,2351,113694
149,hetero,GNN,49,25,2170,113578
