,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,50,Beta,0,50,234.09891390800476,4.681978278160095
1,50,Beta,1,50,295.74565982818604,5.91491319656372
2,50,Beta,2,50,432.62519693374634,8.652503938674927
3,50,Beta,3,50,424.84738063812256,8.496947612762451
4,50,Beta,4,50,445.39866495132446,8.907973299026489
5,50,Beta,5,50,435.60538840293884,8.712107768058777
6,50,Beta,6,50,432.00578904151917,8.640115780830383
7,50,Beta,7,50,423.8605206012726,8.477210412025451
8,50,Beta,8,50,428.0577247142792,8.561154494285583
9,50,Beta,9,50,427.99352049827576,8.559870409965516
10,50,Beta,10,50,426.393346786499,8.52786693572998
11,50,Beta,11,50,425.7088272571564,8.514176545143128
12,50,Beta,12,50,426.6446373462677,8.532892746925354
13,50,Beta,13,50,427.9985854625702,8.559971709251403
14,50,Beta,14,50,425.6813933849335,8.51362786769867
15,50,Beta,15,50,430.264675617218,8.60529351234436
16,50,Beta,16,50,428.78826665878296,8.57576533317566
17,50,Beta,17,50,426.7737169265747,8.535474338531493
18,50,Beta,18,50,424.1942903995514,8.483885807991028
19,50,Beta,19,50,424.6278760433197,8.492557520866393
20,50,Beta,20,50,425.29500937461853,8.50590018749237
21,50,Beta,21,50,423.8747854232788,8.477495708465575
22,50,Beta,22,50,421.9205822944641,8.438411645889282
23,50,Beta,23,50,425.04181456565857,8.50083629131317
24,50,Beta,24,50,429.3652558326721,8.587305116653443
