,Dataset,Seed,Explainer,TP,TN,FP,FN,Torch Accuracy,Torch Recall,Torch Precision,Faithfulness,Accuracy,Precision,Recall
0,25,11591,Beta,32,115,3,105,0.9800000190734863,1.0,0.9142857193946838,0.9999999999998609,0.5764705882352941,0.9142857142857143,0.23357664233576642
1,25,64218,Beta,32,115,3,105,0.9800000190734863,1.0,0.9142857193946838,0.9999999999998609,0.5764705882352941,0.9142857142857143,0.23357664233576642
2,25,46540,Beta,32,115,3,105,0.9800000190734863,1.0,0.9142857193946838,0.9999999999998609,0.5764705882352941,0.9142857142857143,0.23357664233576642
3,25,44133,Beta,32,115,3,105,0.9800000190734863,1.0,0.9142857193946838,0.9999999999998609,0.5764705882352941,0.9142857142857143,0.23357664233576642
4,25,16650,Beta,32,115,3,105,0.9800000190734863,1.0,0.9142857193946838,0.9999999999998609,0.5764705882352941,0.9142857142857143,0.23357664233576642
5,25,81962,Beta,32,115,3,105,0.9800000190734863,1.0,0.9142857193946838,0.9999999999998609,0.5764705882352941,0.9142857142857143,0.23357664233576642
6,25,34574,Beta,32,115,3,105,0.9800000190734863,1.0,0.9142857193946838,0.9999999999998609,0.5764705882352941,0.9142857142857143,0.23357664233576642
7,25,73967,Beta,32,115,3,105,0.9800000190734863,1.0,0.9142857193946838,0.9999999999998609,0.5764705882352941,0.9142857142857143,0.23357664233576642
8,25,26492,Beta,32,115,3,105,0.9800000190734863,1.0,0.9142857193946838,0.9999999999998609,0.5764705882352941,0.9142857142857143,0.23357664233576642
9,25,70699,Beta,32,115,3,105,0.9800000190734863,1.0,0.9142857193946838,0.9999999999998609,0.5764705882352941,0.9142857142857143,0.23357664233576642
